Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
-1.7036304325776401,-4.803744237960202,0.4179266949956015,-6.39393806920801,-1.6969885510925122,-1.830049215941536,0.39165395597074837,-2.6617782486921775,0.839588348886425,-2.663799886931762,1
-2.838478452970153,-6.220789137729449,-0.8356110313217814,-6.2095831466024585,-2.803538769152552,-3.398143471359307,0.9230701522565484,-4.857317906983663,1.8372153447611932,-2.635418397888618,1
-2.7185185421058393,-6.091403629896822,-0.7716996253822618,-6.024519808569464,-2.7256408296140293,-3.2138786160275186,1.365121703983187,-4.799859907341802,2.3835873036597746,-2.6059500243859546,1
-2.7014787820398856,-6.031573297009877,-0.7831299179233178,-5.781578214153383,-2.7089959707382767,-3.1881407567633433,1.5986348841083293,-4.777995358805518,2.409877409866843,-2.5656903410162557,1
-2.2788927324042354,-5.377798555661243,-0.3412883735444606,-5.433479086729477,-2.279558611743857,-2.5803897669846223,1.4630445111148749,-4.111041882136717,2.4773306403448117,-2.5046445868509517,1
-2.7580507854588516,-6.000590445238966,-0.8799499332826852,-5.316409824014686,-2.760262136075595,-3.274000023977608,-0.3042015012445401,-4.565349912343338,1.3436795800445287,-2.4831606828038844,1
-2.372270617565661,-5.4425380809165835,-0.4367980949520013,-5.286950930717876,-2.3900804746788546,-2.710001288240318,1.2794573654978492,-4.223754477304379,2.3644842907709394,-2.477675115734986,1
-2.2141416441536115,-5.2301242119512565,-0.3342567239327968,-5.0611838371306614,-2.23694777302193,-2.491919928682835,1.7629048722788911,-3.9366678702442477,2.235599878269965,-2.4345326440727644,1
-3.0041049208112227,-6.265938124694582,-1.166212955973141,-5.042737794176012,-2.9533424990343264,-3.66210106300512,0.22935632910534925,-4.890945243647219,0.9002730406094088,-2.4309190667046545,1
-0.8979905766593516,-3.6327881785625076,0.9113911252224853,-4.983052375738383,-0.9366513976481287,-0.8883854707179125,1.3251771216785577,-2.365030562046246,2.92311563054887,-2.4191319160044404,1
